date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-21,14,9,0.0,10.2,1,1,18,05:30 AM,03:49 PM,08:31 AM,06:46 PM,6,11,11,11,13,25,71,0.0,1012,14,10,274,8
2020-01-22,15,10,0.0,6.7,1,1,11,06:30 AM,04:39 PM,08:30 AM,06:47 PM,8,11,12,11,24,58,74,2.1,1014,15,10,228,16
2020-01-23,17,11,0.0,8.3,1,1,3,07:27 AM,05:33 PM,08:30 AM,06:48 PM,9,12,13,12,29,69,74,2.8,1016,17,9,216,18
2020-01-24,17,12,0.0,10.2,1,1,0,08:17 AM,06:30 PM,08:29 AM,06:49 PM,9,13,14,13,27,49,73,3.2,1018,17,10,235,17
2020-01-25,16,13,0.0,6.7,1,1,0,09:02 AM,07:28 PM,08:29 AM,06:50 PM,10,12,14,12,43,69,75,8.0,1019,16,9,225,27
2020-01-26,16,12,0.0,8.4,1,1,4,09:41 AM,08:25 PM,08:28 AM,06:51 PM,10,12,13,12,18,51,80,3.7,1025,16,10,202,11
2020-01-27,16,11,0.0,10.2,1,1,11,10:15 AM,09:22 PM,08:28 AM,06:52 PM,8,12,13,12,16,4,76,0.0,1026,16,10,130,10
2020-01-28,18,10,0.0,10.3,1,1,18,10:45 AM,10:17 PM,08:27 AM,06:53 PM,8,13,13,13,19,1,71,0.0,1026,18,10,53,12
2020-01-29,19,12,0.0,10.0,1,1,26,11:14 AM,11:12 PM,08:27 AM,06:54 PM,8,15,15,15,11,28,62,0.0,1025,19,10,246,6
2020-01-30,19,14,0.0,10.3,1,1,33,11:42 AM,No moonset,08:26 AM,06:55 PM,8,17,16,17,9,25,57,0.0,1026,19,10,209,5
2020-01-31,21,14,0.0,10.3,1,1,37,12:09 PM,12:06 AM,08:25 AM,06:56 PM,8,16,17,16,12,16,57,0.0,1026,21,10,213,7
2020-02-01,20,14,0.0,10.3,1,1,49,12:38 PM,01:00 AM,08:25 AM,06:57 PM,10,16,16,16,18,7,65,0.0,1026,20,10,53,10
2020-02-02,24,13,0.0,10.3,1,1,57,01:09 PM,01:56 AM,08:24 AM,06:58 PM,11,17,17,17,18,0,67,0.0,1025,24,10,51,10
2020-02-03,22,17,0.0,10.4,1,1,64,01:44 PM,02:53 AM,08:23 AM,06:59 PM,10,19,20,19,9,3,57,0.0,1027,22,10,282,5
2020-02-04,21,15,0.0,10.8,1,1,72,02:24 PM,03:53 AM,08:22 AM,07:00 PM,12,18,18,18,9,0,69,0.0,1026,21,10,289,6
2020-02-05,20,16,0.0,10.8,1,1,79,03:11 PM,04:54 AM,08:22 AM,07:01 PM,13,18,18,18,8,7,71,0.0,1022,20,10,271,5
2020-02-06,22,15,0.0,10.1,1,1,87,04:05 PM,05:55 AM,08:21 AM,07:02 PM,11,18,19,18,9,26,65,0.0,1020,22,10,258,6
2020-02-07,18,14,0.0,10.8,1,1,95,05:08 PM,06:53 AM,08:20 AM,07:03 PM,12,15,16,15,21,24,79,0.0,1024,18,10,255,13
2020-02-08,17,13,0.0,10.9,1,1,100,06:15 PM,07:48 AM,08:19 AM,07:04 PM,12,15,15,15,12,20,83,0.0,1027,17,10,278,8
2020-02-09,18,13,0.0,10.9,1,1,100,07:27 PM,08:36 AM,08:18 AM,07:05 PM,11,14,15,14,19,11,81,0.0,1028,18,10,28,12
2020-02-10,20,14,0.0,10.9,1,1,83,08:39 PM,09:20 AM,08:17 AM,07:06 PM,12,16,16,16,13,2,77,0.0,1029,20,10,42,9
2020-02-11,20,15,0.0,10.9,1,1,75,09:50 PM,09:59 AM,08:16 AM,07:07 PM,12,17,17,17,8,1,72,0.0,1028,20,10,203,6
2020-02-12,19,15,0.0,10.1,1,1,68,10:59 PM,10:36 AM,08:15 AM,07:08 PM,12,16,16,16,7,17,74,0.0,1025,19,10,273,5
2020-02-13,18,14,0.0,10.1,1,1,60,No moonrise,11:11 AM,08:15 AM,07:09 PM,12,15,15,15,11,47,81,0.0,1025,18,10,207,7
2020-02-14,19,13,0.0,11.0,1,1,53,12:07 AM,11:47 AM,08:14 AM,07:10 PM,11,15,15,15,16,8,80,0.0,1023,19,10,112,10
2020-02-15,18,13,0.0,10.1,1,1,45,01:14 AM,12:23 PM,08:13 AM,07:11 PM,12,16,16,16,10,19,79,0.0,1024,18,10,288,7
2020-02-16,22,14,0.0,11.0,1,1,38,02:20 AM,01:03 PM,08:12 AM,07:12 PM,13,17,17,17,9,2,76,0.0,1026,22,10,175,6
2020-02-17,18,14,0.0,11.0,1,1,30,03:25 AM,01:47 PM,08:10 AM,07:13 PM,13,16,16,16,13,1,81,0.0,1028,18,10,195,9
2020-02-18,17,12,0.0,11.1,1,1,22,04:25 AM,02:35 PM,08:09 AM,07:14 PM,12,15,15,15,13,29,86,0.0,1026,17,10,207,9
2020-02-19,20,14,0.0,10.1,1,1,15,05:23 AM,03:28 PM,08:08 AM,07:15 PM,13,16,16,16,17,33,80,0.0,1023,20,10,49,11
2020-02-20,19,15,0.0,10.1,1,1,7,06:14 AM,04:22 PM,08:07 AM,07:15 PM,12,16,17,16,14,27,74,0.3,1019,19,10,196,8
2020-02-21,23,14,0.0,11.1,1,1,0,07:00 AM,05:20 PM,08:06 AM,07:16 PM,10,18,19,18,30,7,59,0.0,1021,23,10,59,16
2020-02-22,24,15,0.0,11.1,1,1,0,07:40 AM,06:17 PM,08:05 AM,07:17 PM,9,18,19,18,37,0,55,0.0,1023,24,10,76,19
