date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-21,8,3,0.0,8.7,1,1,18,05:49 AM,02:18 PM,08:44 AM,05:26 PM,1,3,5,3,9,10,77,0.0,1042,8,10,219,6
2020-01-22,7,4,0.0,6.9,1,1,11,06:55 AM,03:03 PM,08:43 AM,05:28 PM,3,3,5,3,14,35,86,0.0,1037,7,10,52,9
2020-01-23,6,2,0.0,8.7,1,1,3,07:53 AM,03:56 PM,08:42 AM,05:29 PM,2,0,4,0,28,24,89,0.0,1031,6,10,64,16
2020-01-24,6,2,0.0,8.7,1,1,0,08:41 AM,04:57 PM,08:41 AM,05:31 PM,1,2,3,2,9,9,84,0.0,1024,6,10,194,5
2020-01-25,7,2,0.0,8.7,1,1,0,09:19 AM,06:03 PM,08:39 AM,05:33 PM,2,1,4,1,19,21,84,0.0,1020,7,10,172,11
2020-01-26,8,2,0.0,5.1,1,1,4,09:49 AM,07:11 PM,08:38 AM,05:34 PM,5,2,6,2,47,75,90,1.9,1013,8,10,204,28
2020-01-27,9,8,0.0,3.4,1,1,11,10:13 AM,08:18 PM,08:37 AM,05:36 PM,7,4,8,4,48,93,89,5.6,1002,9,10,212,31
2020-01-28,7,5,0.0,3.4,1,1,18,10:33 AM,09:25 PM,08:35 AM,05:38 PM,1,1,6,1,65,86,71,14.0,997,7,9,274,44
2020-01-29,8,4,0.0,8.7,1,1,26,10:51 AM,10:30 PM,08:34 AM,05:39 PM,2,2,7,2,53,49,74,0.6,1010,8,10,277,34
2020-01-30,11,4,0.0,5.2,1,1,33,11:09 AM,11:35 PM,08:33 AM,05:41 PM,7,4,8,4,52,78,92,1.8,1007,11,10,199,33
2020-01-31,10,6,0.0,3.4,1,1,37,11:26 AM,No moonset,08:31 AM,05:43 PM,9,6,10,6,59,98,92,0.5,1009,10,9,227,36
2020-02-01,10,8,0.0,3.4,1,1,49,11:44 AM,12:40 AM,08:30 AM,05:45 PM,8,6,10,6,58,84,87,5.5,1006,10,9,253,37
2020-02-02,11,8,0.0,3.4,1,1,57,12:04 PM,01:48 AM,08:28 AM,05:46 PM,9,6,10,6,56,95,91,5.8,1010,11,8,249,35
2020-02-03,10,7,0.0,3.5,1,1,64,12:28 PM,02:56 AM,08:27 AM,05:48 PM,7,5,9,5,53,90,87,2.1,1014,10,10,258,34
2020-02-04,8,1,0.0,5.2,1,1,72,12:58 PM,04:05 AM,08:25 AM,05:50 PM,2,1,6,1,57,69,72,2.0,1020,8,10,299,37
2020-02-05,8,6,0.0,3.5,1,1,79,01:38 PM,05:15 AM,08:24 AM,05:52 PM,5,5,7,5,18,63,85,0.3,1035,8,10,234,12
2020-02-06,8,4,0.0,8.7,1,1,87,02:28 PM,06:20 AM,08:22 AM,05:53 PM,3,5,6,5,12,8,79,0.0,1032,8,10,114,7
2020-02-07,8,3,0.0,8.7,1,1,95,03:33 PM,07:19 AM,08:21 AM,05:55 PM,1,1,5,1,38,22,77,0.0,1022,8,10,159,23
2020-02-08,9,7,0.0,3.5,1,1,100,04:48 PM,08:07 AM,08:19 AM,05:57 PM,6,4,8,4,40,81,90,5.8,1017,9,9,234,24
2020-02-09,12,7,0.0,3.5,1,1,100,06:11 PM,08:46 AM,08:17 AM,05:59 PM,7,5,10,5,93,83,82,4.6,1003,12,10,210,62
2020-02-10,9,5,0.0,4.9,1,1,83,07:37 PM,09:17 AM,08:15 AM,06:00 PM,3,2,8,2,94,85,73,16.8,1000,9,9,257,61
2020-02-11,7,5,0.0,4.9,1,1,75,09:01 PM,09:43 AM,08:14 AM,06:02 PM,-1,-0,6,-0,83,78,59,4.4,1009,7,9,276,55
2020-02-12,7,5,0.0,5.0,1,1,68,10:25 PM,10:06 AM,08:12 AM,06:04 PM,1,1,6,1,54,90,68,2.1,1016,7,10,274,35
2020-02-13,8,6,0.0,5.0,1,1,60,11:47 PM,10:28 AM,08:10 AM,06:06 PM,4,3,7,3,61,95,82,16.9,1001,8,9,247,40
2020-02-14,9,6,0.0,10.0,1,1,53,No moonrise,10:51 AM,08:08 AM,06:07 PM,5,4,8,4,37,41,86,0.4,1018,9,10,215,23
2020-02-15,11,4,0.0,5.0,1,1,45,01:08 AM,11:15 AM,08:07 AM,06:09 PM,8,6,9,6,73,90,85,0.3,1013,11,9,196,45
2020-02-16,13,6,0.0,5.0,1,1,38,02:26 AM,11:44 AM,08:05 AM,06:11 PM,8,7,11,7,90,94,83,8.7,1002,13,8,229,58
2020-02-17,9,7,0.0,5.1,1,1,30,03:41 AM,12:18 PM,08:03 AM,06:13 PM,4,3,8,3,70,76,74,7.6,1012,9,10,243,44
2020-02-18,9,4,0.0,5.1,1,1,22,04:49 AM,01:00 PM,08:01 AM,06:14 PM,4,3,7,3,62,83,75,5.5,1021,9,10,252,40
2020-02-19,7,3,0.0,6.9,1,1,15,05:50 AM,01:50 PM,07:59 AM,06:16 PM,3,2,6,2,49,62,79,3.3,1021,7,10,266,32
2020-02-20,10,5,0.0,5.3,1,1,7,06:39 AM,02:48 PM,07:57 AM,06:18 PM,5,3,8,3,70,69,79,3.1,1015,10,10,221,45
2020-02-21,9,0,0.0,5.3,1,1,0,07:19 AM,03:52 PM,07:55 AM,06:20 PM,3,2,7,2,61,72,75,0.4,1025,9,10,238,39
2020-02-22,11,8,0.0,5.3,1,1,0,07:51 AM,04:59 PM,07:53 AM,06:21 PM,6,4,9,4,76,79,83,0.4,1021,11,10,239,48
2020-02-23,11,7,0.0,5.4,1,1,0,08:16 AM,06:06 PM,07:51 AM,06:23 PM,8,6,10,6,70,94,87,2.9,1020,11,8,250,44
2020-02-24,10,6,0.0,5.4,1,1,0,08:38 AM,07:13 PM,07:49 AM,06:25 PM,7,5,9,5,61,97,86,2.4,1014,10,5,229,38
2020-02-25,8,5,0.0,5.4,1,1,8,08:57 AM,08:19 PM,07:47 AM,06:27 PM,2,2,7,2,59,90,74,2.1,1003,8,9,260,39
2020-02-26,7,3,0.3,8.5,1,1,15,09:14 AM,09:24 PM,07:45 AM,06:28 PM,-1,-1,5,-1,55,71,69,3.0,1004,7,7,295,38
2020-02-27,5,-2,2.8,5.4,1,1,23,09:31 AM,10:29 PM,07:43 AM,06:30 PM,1,-1,3,-1,46,84,83,9.4,1003,5,8,269,30
2020-02-28,6,0,0.0,5.5,1,1,30,09:48 AM,11:36 PM,07:41 AM,06:32 PM,3,0,5,0,51,82,85,6.3,1010,6,9,184,32
2020-02-29,9,6,0.0,5.5,1,1,38,10:07 AM,No moonset,07:39 AM,06:33 PM,4,2,8,2,77,88,76,4.7,992,9,10,233,50
2020-03-01,8,6,0.0,7.0,1,1,44,10:28 AM,12:42 AM,07:37 AM,06:35 PM,2,2,7,2,58,76,72,8.9,992,8,9,243,37
2020-03-02,8,5,0.0,5.5,1,1,51,10:55 AM,01:50 AM,07:35 AM,06:37 PM,3,2,7,2,43,89,80,4.3,990,8,8,291,29
2020-03-03,7,5,0.0,8.6,1,1,58,11:30 AM,02:58 AM,07:33 AM,06:39 PM,2,3,6,3,33,63,73,3.1,1003,7,10,264,21
2020-03-04,8,2,0.0,5.5,1,1,65,12:13 PM,04:04 AM,07:31 AM,06:40 PM,4,3,6,3,28,88,82,2.8,1009,8,10,212,18
2020-03-05,8,7,0.0,5.6,1,1,73,01:10 PM,05:04 AM,07:29 AM,06:42 PM,7,4,8,4,40,100,95,26.2,992,8,7,84,27
2020-03-06,7,5,0.0,7.1,1,1,80,02:18 PM,05:56 AM,07:26 AM,06:44 PM,2,2,6,2,35,68,78,8.0,1002,7,9,326,25
