city,date_time,maxtempC,Cigarette consumption per year per person,Density(P/km2),age_greater_65,median_age,mintempC,humidity,confirmed cases
China,2020-01-22,7,"2,043",153,"152,098,421",37.4,-1,36,32
China,2020-01-23,7,"2,043",153,"152,098,421",37.4,1,44,264
China,2020-01-24,3,"2,043",153,"152,098,421",37.4,-6,42,261
China,2020-01-25,7,"2,043",153,"152,098,421",37.4,-1,47,462
China,2020-01-26,3,"2,043",153,"152,098,421",37.4,0,46,688
China,2020-01-27,4,"2,043",153,"152,098,421",37.4,0,53,776
China,2020-01-28,5,"2,043",153,"152,098,421",37.4,0,54,1776
China,2020-01-29,7,"2,043",153,"152,098,421",37.4,1,49,1460
China,2020-01-30,10,"2,043",153,"152,098,421",37.4,1,45,1739
China,2020-01-31,11,"2,043",153,"152,098,421",37.4,3,37,1984
China,2020-02-01,4,"2,043",153,"152,098,421",37.4,0,23,2101
China,2020-02-02,4,"2,043",153,"152,098,421",37.4,-1,46,2590
China,2020-02-03,5,"2,043",153,"152,098,421",37.4,0,28,2827
China,2020-02-04,2,"2,043",153,"152,098,421",37.4,-4,30,3233
China,2020-02-05,-3,"2,043",153,"152,098,421",37.4,-6,63,3892
China,2020-02-06,-2,"2,043",153,"152,098,421",37.4,-7,78,3697
China,2020-02-07,5,"2,043",153,"152,098,421",37.4,-3,71,3151
China,2020-02-08,4,"2,043",153,"152,098,421",37.4,-5,55,3387
China,2020-02-09,9,"2,043",153,"152,098,421",37.4,0,57,2653
China,2020-02-10,13,"2,043",153,"152,098,421",37.4,3,44,2984
China,2020-02-11,11,"2,043",153,"152,098,421",37.4,5,49,2473
China,2020-02-12,15,"2,043",153,"152,098,421",37.4,6,50,2022
China,2020-02-13,14,"2,043",153,"152,098,421",37.4,5,57,1820
China,2020-02-14,2,"2,043",153,"152,098,421",37.4,-1,80,1998
China,2020-02-15,-1,"2,043",153,"152,098,421",37.4,-4,30,1506
China,2020-02-16,2,"2,043",153,"152,098,421",37.4,-3,26,1120
China,2020-02-17,10,"2,043",153,"152,098,421",37.4,-1,33,19461
China,2020-02-18,8,"2,043",153,"152,098,421",37.4,1,40,1893
China,2020-02-19,9,"2,043",153,"152,098,421",37.4,2,51,1752
China,2020-02-20,7,"2,043",153,"152,098,421",37.4,1,64,395
China,2020-02-21,10,"2,043",153,"152,098,421",37.4,3,35,894
China,2020-02-22,11,"2,043",153,"152,098,421",37.4,2,22,823
China,2020-02-23,13,"2,043",153,"152,098,421",37.4,1,26,650
China,2020-02-24,11,"2,043",153,"152,098,421",37.4,4,37,220
China,2020-02-25,11,"2,043",153,"152,098,421",37.4,6,33,518
China,2020-02-26,9,"2,043",153,"152,098,421",37.4,4,38,411
China,2020-02-27,8,"2,043",153,"152,098,421",37.4,3,39,439
China,2020-02-28,12,"2,043",153,"152,098,421",37.4,4,37,331
China,2020-02-29,9,"2,043",153,"152,098,421",37.4,4,56,433
China,2020-03-01,10,"2,043",153,"152,098,421",37.4,4,31,574
China,2020-03-02,11,"2,043",153,"152,098,421",37.4,6,30,206
China,2020-03-03,8,"2,043",153,"152,098,421",37.4,0,24,130
China,2020-03-04,12,"2,043",153,"152,098,421",37.4,2,18,118
China,2020-03-05,10,"2,043",153,"152,098,421",37.4,4,25,143
China,2020-03-06,12,"2,043",153,"152,098,421",37.4,4,43,146
China,2020-03-07,18,"2,043",153,"152,098,421",37.4,7,44,102
China,2020-03-08,11,"2,043",153,"152,098,421",37.4,5,72,46
China,2020-03-09,12,"2,043",153,"152,098,421",37.4,8,61,45
China,2020-03-10,11,"2,043",153,"152,098,421",37.4,6,16,20
China,2020-03-11,18,"2,043",153,"152,098,421",37.4,5,21,31
China,2020-03-12,13,"2,043",153,"152,098,421",37.4,7,20,26
China,2020-03-13,13,"2,043",153,"152,098,421",37.4,4,13,10
China,2020-03-14,15,"2,043",153,"152,098,421",37.4,7,17,30
China,2020-03-15,18,"2,043",153,"152,098,421",37.4,9,28,27
China,2020-03-16,18,"2,043",153,"152,098,421",37.4,6,36,29
China,2020-03-17,22,"2,043",153,"152,098,421",37.4,13,20,39
Italy,2020-01-22,14,"1,493",206,"13,749,132",45.5,8,65,
Italy,2020-01-23,17,"1,493",206,"13,749,132",45.5,8,67,
Italy,2020-01-24,14,"1,493",206,"13,749,132",45.5,10,70,
Italy,2020-01-25,14,"1,493",206,"13,749,132",45.5,10,79,
Italy,2020-01-26,13,"1,493",206,"13,749,132",45.5,9,79,
Italy,2020-01-27,15,"1,493",206,"13,749,132",45.5,8,75,
Italy,2020-01-28,12,"1,493",206,"13,749,132",45.5,10,82,
Italy,2020-01-29,15,"1,493",206,"13,749,132",45.5,10,74,
Italy,2020-01-30,14,"1,493",206,"13,749,132",45.5,8,70,
Italy,2020-01-31,13,"1,493",206,"13,749,132",45.5,10,74,
Italy,2020-02-01,15,"1,493",206,"13,749,132",45.5,10,82,0
Italy,2020-02-02,16,"1,493",206,"13,749,132",45.5,11,83,0
Italy,2020-02-03,18,"1,493",206,"13,749,132",45.5,11,80,0
Italy,2020-02-04,18,"1,493",206,"13,749,132",45.5,10,66,0
Italy,2020-02-05,12,"1,493",206,"13,749,132",45.5,7,35,0
Italy,2020-02-06,12,"1,493",206,"13,749,132",45.5,5,33,0
Italy,2020-02-07,14,"1,493",206,"13,749,132",45.5,5,40,1
Italy,2020-02-08,15,"1,493",206,"13,749,132",45.5,7,47,0
Italy,2020-02-09,14,"1,493",206,"13,749,132",45.5,8,63,0
Italy,2020-02-10,13,"1,493",206,"13,749,132",45.5,10,80,0
Italy,2020-02-11,17,"1,493",206,"13,749,132",45.5,12,79,0
Italy,2020-02-12,16,"1,493",206,"13,749,132",45.5,10,64,0
Italy,2020-02-13,14,"1,493",206,"13,749,132",45.5,9,69,0
Italy,2020-02-14,17,"1,493",206,"13,749,132",45.5,11,60,0
Italy,2020-02-15,19,"1,493",206,"13,749,132",45.5,9,52,0
Italy,2020-02-16,17,"1,493",206,"13,749,132",45.5,10,61,0
Italy,2020-02-17,16,"1,493",206,"13,749,132",45.5,9,60,0
Italy,2020-02-18,13,"1,493",206,"13,749,132",45.5,10,74,0
Italy,2020-02-19,13,"1,493",206,"13,749,132",45.5,9,77,0
Italy,2020-02-20,18,"1,493",206,"13,749,132",45.5,7,65,0
Italy,2020-02-21,17,"1,493",206,"13,749,132",45.5,10,57,0
Italy,2020-02-22,16,"1,493",206,"13,749,132",45.5,9,64,6
Italy,2020-02-23,17,"1,493",206,"13,749,132",45.5,9,71,67
Italy,2020-02-24,19,"1,493",206,"13,749,132",45.5,10,73,48
Italy,2020-02-25,16,"1,493",206,"13,749,132",45.5,11,74,105
Italy,2020-02-26,16,"1,493",206,"13,749,132",45.5,9,58,93
Italy,2020-02-27,13,"1,493",206,"13,749,132",45.5,6,45,78
Italy,2020-02-28,17,"1,493",206,"13,749,132",45.5,11,52,250
Italy,2020-02-29,14,"1,493",206,"13,749,132",45.5,8,57,238
Italy,2020-03-01,15,"1,493",206,"13,749,132",45.5,11,76,240
