date_time,maxtempC,mintempC,humidity
2020-01-22,3,-2,72
2020-01-23,4,-1,74
2020-01-24,4,-2,79
2020-01-25,3,-1,80
2020-01-26,2,-1,79
2020-01-27,5,-1,79
2020-01-28,4,-2,83
2020-01-29,5,2,71
2020-01-30,7,2,69
2020-01-31,12,3,72
2020-02-01,14,6,77
2020-02-02,12,6,71
2020-02-03,9,8,76
2020-02-04,8,4,65
2020-02-05,5,1,61
2020-02-06,6,1,59
2020-02-07,7,1,71
2020-02-08,6,1,77
2020-02-09,6,-1,81
2020-02-10,11,2,62
2020-02-11,8,4,63
2020-02-12,7,2,61
2020-02-13,8,2,67
2020-02-14,9,5,72
2020-02-15,9,3,73
2020-02-16,10,4,74
2020-02-17,11,5,75
2020-02-18,11,7,59
2020-02-19,10,5,60
2020-02-20,8,3,62
2020-02-21,7,4,57
2020-02-22,12,3,52
2020-02-23,13,7,63
2020-02-24,9,4,51
2020-02-25,14,7,61
2020-02-26,8,4,55
2020-02-27,8,3,50
2020-02-28,7,3,56
2020-02-29,9,3,50
2020-03-01,7,2,78
2020-03-02,12,6,62
2020-03-03,8,5,74
2020-03-04,10,4,59
2020-03-05,11,4,55
2020-03-06,11,5,72
2020-03-07,9,5,63
2020-03-08,10,3,60
2020-03-09,10,3,66
2020-03-10,11,5,61
2020-03-11,16,10,68
2020-03-12,18,11,65
2020-03-13,13,8,54
2020-03-14,10,4,53
2020-03-15,9,3,41
2020-03-16,11,4,47
2020-03-17,15,6,62
