date_time,maxtempC,mintempC,humidity
2020-01-22,5,2,82
2020-01-23,8,1,86
2020-01-24,6,-2,76
2020-01-25,6,1,78
2020-01-26,8,2,86
2020-01-27,9,6,86
2020-01-28,6,4,71
2020-01-29,6,2,77
2020-01-30,9,2,89
2020-01-31,12,10,85
2020-02-01,12,8,83
2020-02-02,13,7,86
2020-02-03,11,8,80
2020-02-04,7,-3,77
2020-02-05,9,3,84
2020-02-06,11,3,78
2020-02-07,11,3,70
2020-02-08,10,5,86
2020-02-09,12,5,78
2020-02-10,9,-2,71
2020-02-11,7,3,58
2020-02-12,7,3,68
2020-02-13,9,4,79
2020-02-14,10,5,82
2020-02-15,12,7,80
2020-02-16,15,8,73
2020-02-17,10,6,71
2020-02-18,8,5,78
2020-02-19,7,2,77
2020-02-20,9,5,79
2020-02-21,8,3,76
2020-02-22,11,5,78
2020-02-23,13,7,80
2020-02-24,11,6,82
2020-02-25,9,4,73
2020-02-26,5,1,77
2020-02-27,2,-5,88
2020-02-28,6,1,82
2020-02-29,10,5,79
2020-03-01,9,5,74
2020-03-02,7,4,87
2020-03-03,8,1,80
2020-03-04,9,2,81
2020-03-05,8,5,92
2020-03-06,8,4,86
2020-03-07,10,2,80
2020-03-08,9,6,83
2020-03-09,10,5,79
2020-03-10,13,7,90
2020-03-11,14,9,84
2020-03-12,10,6,68
2020-03-13,9,5,72
2020-03-14,10,5,80
2020-03-15,12,7,83
2020-03-16,14,7,76
2020-03-17,13,5,63
