date_time,maxtempC,mintempC,humidity
2020-01-22,-1,-9,89
2020-01-23,-0,-6,91
2020-01-24,-1,-8,94
2020-01-25,-1,-9,96
2020-01-26,1,-7,99
2020-01-27,-1,-5,93
2020-01-28,-4,-9,91
2020-01-29,-6,-17,88
2020-01-30,-9,-17,89
2020-01-31,-7,-17,93
2020-02-01,-2,-12,95
2020-02-02,-1,-8,97
2020-02-03,1,-6,92
2020-02-04,-0,-7,90
2020-02-05,-10,-18,85
2020-02-06,-4,-12,95
2020-02-07,-6,-13,89
2020-02-08,-15,-25,89
2020-02-09,-9,-24,91
2020-02-10,0,-6,96
2020-02-11,-0,-7,93
2020-02-12,-1,-9,88
2020-02-13,-3,-18,92
2020-02-14,-17,-27,87
2020-02-15,-7,-21,91
2020-02-16,-0,-5,89
2020-02-17,-8,-18,84
2020-02-18,2,-15,93
2020-02-19,-9,-14,82
2020-02-20,-13,-20,89
2020-02-21,-3,-19,88
2020-02-22,0,-7,89
2020-02-23,1,-7,95
2020-02-24,2,-2,94
2020-02-25,0,-4,92
2020-02-26,-1,-6,91
2020-02-27,1,-10,96
2020-02-28,-10,-14,88
2020-02-29,-9,-17,91
2020-03-01,-5,-18,88
2020-03-02,3,-7,98
2020-03-03,-0,-9,96
2020-03-04,1,-3,92
2020-03-05,0,-5,95
2020-03-06,-1,-6,91
2020-03-07,-3,-12,83
2020-03-08,3,-5,89
2020-03-09,8,1,90
2020-03-10,7,-4,92
2020-03-11,-2,-9,76
2020-03-12,0,-6,93
2020-03-13,8,-0,83
2020-03-14,2,-3,69
2020-03-15,-3,-8,62
2020-03-16,-2,-9,78
2020-03-17,5,-1,83
