date_time,maxtempC,mintempC,humidity
2020-01-22,7,-1,36
2020-01-23,7,1,44
2020-01-24,3,-6,42
2020-01-25,7,-1,47
2020-01-26,3,0,46
2020-01-27,4,0,53
2020-01-28,5,0,54
2020-01-29,7,1,49
2020-01-30,10,1,45
2020-01-31,11,3,37
2020-02-01,4,-0,23
2020-02-02,4,-1,46
2020-02-03,5,-0,28
2020-02-04,2,-4,30
2020-02-05,-3,-6,63
2020-02-06,-2,-7,78
2020-02-07,5,-3,71
2020-02-08,4,-5,55
2020-02-09,9,-0,57
2020-02-10,13,3,44
2020-02-11,11,5,49
2020-02-12,15,6,50
2020-02-13,14,5,57
2020-02-14,2,-1,80
2020-02-15,-1,-4,30
2020-02-16,2,-3,26
2020-02-17,10,-1,33
2020-02-18,8,1,40
2020-02-19,9,2,51
2020-02-20,7,1,64
2020-02-21,10,3,35
2020-02-22,11,2,22
2020-02-23,13,1,26
2020-02-24,11,4,37
2020-02-25,11,6,33
2020-02-26,9,4,38
2020-02-27,8,3,39
2020-02-28,12,4,37
2020-02-29,9,4,56
2020-03-01,10,4,31
2020-03-02,11,6,30
2020-03-03,8,0,24
2020-03-04,12,2,18
2020-03-05,10,4,25
2020-03-06,12,4,43
2020-03-07,18,7,44
2020-03-08,11,5,72
2020-03-09,12,8,61
2020-03-10,11,6,16
2020-03-11,18,5,21
2020-03-12,13,7,20
2020-03-13,13,4,13
2020-03-14,15,7,17
2020-03-15,18,9,28
2020-03-16,18,6,36
2020-03-17,22,13,20
