date_time,maxtempC,mintempC,humidity
2020-01-22,6,1,75
2020-01-23,6,0,87
2020-01-24,7,6,89
2020-01-25,6,5,88
2020-01-26,4,0,88
2020-01-27,6,4,92
2020-01-28,6,5,92
2020-01-29,5,4,84
2020-01-30,7,4,89
2020-01-31,8,-1,88
2020-02-01,8,7,86
2020-02-02,6,4,76
2020-02-03,5,-1,86
2020-02-04,5,-2,82
2020-02-05,5,1,74
2020-02-06,7,5,86
2020-02-07,5,1,90
2020-02-08,5,1,83
2020-02-09,7,0,87
2020-02-10,7,4,76
2020-02-11,6,4,77
2020-02-12,6,3,79
2020-02-13,5,0,80
2020-02-14,6,3,82
2020-02-15,6,0,88
2020-02-16,10,4,85
2020-02-17,7,5,76
2020-02-18,6,5,80
2020-02-19,5,4,85
2020-02-20,6,-2,87
2020-02-21,7,4,78
2020-02-22,7,5,79
2020-02-23,6,-4,74
2020-02-24,5,4,78
2020-02-25,5,3,82
2020-02-26,2,0,86
2020-02-27,5,1,75
2020-02-28,6,2,79
2020-02-29,6,-1,89
2020-03-01,6,5,78
2020-03-02,6,4,86
2020-03-03,6,4,89
2020-03-04,6,4,82
2020-03-05,5,3,87
2020-03-06,6,0,83
2020-03-07,6,3,85
2020-03-08,7,4,85
2020-03-09,8,6,90
2020-03-10,7,1,90
2020-03-11,8,6,75
2020-03-12,7,5,76
2020-03-13,6,3,77
2020-03-14,4,-0,55
2020-03-15,8,4,73
2020-03-16,9,1,82
2020-03-17,8,5,83
