date_time,maxtempC,mintempC,humidity
2020-01-22,6,2,87
2020-01-23,4,1,93
2020-01-24,5,-2,80
2020-01-25,3,-0,75
2020-01-26,4,0,71
2020-01-27,7,2,87
2020-01-28,9,3,75
2020-01-29,5,3,77
2020-01-30,7,3,80
2020-01-31,10,5,80
2020-02-01,11,9,85
2020-02-02,9,7,78
2020-02-03,9,6,84
2020-02-04,6,4,75
2020-02-05,5,2,73
2020-02-06,5,2,83
2020-02-07,7,5,84
2020-02-08,8,2,77
2020-02-09,11,5,69
2020-02-10,10,5,66
2020-02-11,6,3,68
2020-02-12,5,3,63
2020-02-13,6,2,76
2020-02-14,6,3,89
2020-02-15,9,3,81
2020-02-16,13,7,64
2020-02-17,10,7,64
2020-02-18,8,6,70
2020-02-19,7,0,74
2020-02-20,7,2,80
2020-02-21,7,5,73
2020-02-22,11,5,63
2020-02-23,9,5,80
2020-02-24,7,4,78
2020-02-25,9,5,70
2020-02-26,5,2,78
2020-02-27,6,1,77
2020-02-28,7,1,74
2020-02-29,12,2,79
2020-03-01,10,5,69
2020-03-02,9,5,80
2020-03-03,8,4,80
2020-03-04,9,2,74
2020-03-05,9,2,71
2020-03-06,10,5,83
2020-03-07,8,4,80
2020-03-08,11,2,76
2020-03-09,10,6,79
2020-03-10,9,4,83
2020-03-11,12,7,71
2020-03-12,12,6,64
2020-03-13,8,4,71
2020-03-14,10,3,54
2020-03-15,11,2,44
2020-03-16,15,5,60
2020-03-17,14,8,71
