date_time,maxtempC,mintempC,humidity
2020-01-22,4,-1,76
2020-01-23,4,-1,78
2020-01-24,6,-1,52
2020-01-25,6,-2,50
2020-01-26,6,-1,50
2020-01-27,9,0,43
2020-01-28,7,-1,46
2020-01-29,7,-1,48
2020-01-30,8,-0,54
2020-01-31,9,3,47
2020-02-01,7,-1,48
2020-02-02,5,-4,53
2020-02-03,7,-1,44
2020-02-04,9,-0,40
2020-02-05,10,1,52
2020-02-06,15,5,37
2020-02-07,16,6,35
2020-02-08,15,7,45
2020-02-09,8,3,48
2020-02-10,6,0,44
2020-02-11,-0,-4,46
2020-02-12,1,-7,25
2020-02-13,9,-1,41
2020-02-14,9,-1,49
2020-02-15,5,-3,33
2020-02-16,8,-1,35
2020-02-17,9,2,56
2020-02-18,13,4,57
2020-02-19,12,5,51
2020-02-20,8,-0,78
2020-02-21,14,3,54
2020-02-22,15,6,45
2020-02-23,14,6,42
2020-02-24,16,8,50
2020-02-25,10,7,85
2020-02-26,7,2,71
2020-02-27,15,3,44
2020-02-28,13,7,43
2020-02-29,18,7,35
2020-03-01,19,8,39
2020-03-02,10,4,57
2020-03-03,10,1,43
2020-03-04,15,5,37
2020-03-05,18,8,32
2020-03-06,16,7,28
2020-03-07,16,7,35
2020-03-08,15,7,42
2020-03-09,17,10,22
2020-03-10,17,8,14
2020-03-11,17,10,16
2020-03-12,22,11,22
2020-03-13,20,11,26
2020-03-14,19,13,30
2020-03-15,18,12,39
2020-03-16,19,10,43
2020-03-17,18,11,47
