date_time,maxtempC,mintempC,humidity
2020-01-22,14,8,65
2020-01-23,17,8,67
2020-01-24,14,10,70
2020-01-25,14,10,79
2020-01-26,13,9,79
2020-01-27,15,8,75
2020-01-28,12,10,82
2020-01-29,15,10,74
2020-01-30,14,8,70
2020-01-31,13,10,74
2020-02-01,15,10,82
2020-02-02,16,11,83
2020-02-03,18,11,80
2020-02-04,18,10,66
2020-02-05,12,7,35
2020-02-06,12,5,33
2020-02-07,14,5,40
2020-02-08,15,7,47
2020-02-09,14,8,63
2020-02-10,13,10,80
2020-02-11,17,12,79
2020-02-12,16,10,64
2020-02-13,14,9,69
2020-02-14,17,11,60
2020-02-15,19,9,52
2020-02-16,17,10,61
2020-02-17,16,9,60
2020-02-18,13,10,74
2020-02-19,13,9,77
2020-02-20,18,7,65
2020-02-21,17,10,57
2020-02-22,16,9,64
2020-02-23,17,9,71
2020-02-24,19,10,73
2020-02-25,16,11,74
2020-02-26,16,9,58
2020-02-27,13,6,45
2020-02-28,17,11,52
2020-02-29,14,8,57
2020-03-01,15,11,76
2020-03-02,16,10,80
2020-03-03,13,9,61
2020-03-04,15,7,63
2020-03-05,13,6,61
2020-03-06,15,10,69
2020-03-07,16,9,67
2020-03-08,16,7,54
2020-03-09,14,7,57
2020-03-10,16,8,57
2020-03-11,18,9,61
2020-03-12,19,12,66
2020-03-13,18,12,74
2020-03-14,17,11,76
2020-03-15,17,9,70
2020-03-16,19,9,56
2020-03-17,19,12,56
