date_time,maxtempC,mintempC,humidity
2020-01-22,3,-4,70
2020-01-23,2,-5,96
2020-01-24,2,-1,97
2020-01-25,2,-2,88
2020-01-26,8,-2,86
2020-01-27,8,-1,87
2020-01-28,2,-0,83
2020-01-29,1,-3,94
2020-01-30,2,-4,90
2020-01-31,6,0,91
2020-02-01,7,-1,83
2020-02-02,17,5,72
2020-02-03,16,9,72
2020-02-04,6,1,88
2020-02-05,0,-3,92
2020-02-06,-1,-4,91
2020-02-07,4,-7,83
2020-02-08,2,-6,79
2020-02-09,11,-0,84
2020-02-10,4,-1,83
2020-02-11,6,-2,79
2020-02-12,1,-5,91
2020-02-13,-7,-12,83
2020-02-14,-1,-14,45
2020-02-15,9,-5,52
2020-02-16,11,-1,80
2020-02-17,11,6,89
2020-02-18,5,-1,79
2020-02-19,6,-3,69
2020-02-20,1,-6,57
2020-02-21,6,-6,42
2020-02-22,10,-4,54
2020-02-23,14,3,74
2020-02-24,13,6,93
2020-02-25,6,5,94
2020-02-26,0,-2,86
2020-02-27,8,-4,63
2020-02-28,6,-3,79
2020-02-29,12,-2,72
2020-03-01,14,7,81
2020-03-02,12,6,82
2020-03-03,14,3,68
2020-03-04,13,6,66
2020-03-05,13,4,63
2020-03-06,9,-0,59
2020-03-07,14,0,59
2020-03-08,17,6,57
2020-03-09,14,7,81
2020-03-10,13,4,78
2020-03-11,19,6,80
2020-03-12,18,10,90
2020-03-13,11,4,61
2020-03-14,4,-6,84
2020-03-15,6,1,83
2020-03-16,6,2,88
2020-03-17,13,4,79
