date_time,maxtempC,mintempC,humidity
2020-01-22,34,24,70
2020-01-23,34,24,72
2020-01-24,34,23,72
2020-01-25,34,23,70
2020-01-26,33,24,74
2020-01-27,30,25,81
2020-01-28,32,24,81
2020-01-29,28,24,90
2020-01-30,32,22,81
2020-01-31,32,23,75
2020-02-01,34,23,75
2020-02-02,34,23,70
2020-02-03,35,22,67
2020-02-04,33,23,71
2020-02-05,33,22,71
2020-02-06,34,23,72
2020-02-07,31,23,78
2020-02-08,35,22,66
2020-02-09,32,23,73
2020-02-10,30,23,79
2020-02-11,34,24,75
2020-02-12,35,23,75
2020-02-13,35,23,77
2020-02-14,33,24,79
2020-02-15,31,24,81
2020-02-16,32,23,79
2020-02-17,35,23,72
2020-02-18,31,24,76
2020-02-19,34,23,68
2020-02-20,34,23,70
2020-02-21,33,23,69
2020-02-22,33,23,68
2020-02-23,33,23,68
2020-02-24,35,23,71
2020-02-25,36,23,67
2020-02-26,37,24,64
2020-02-27,36,24,66
2020-02-28,37,24,64
2020-02-29,36,24,63
2020-03-01,36,24,69
2020-03-02,38,24,65
2020-03-03,34,23,71
2020-03-04,33,23,74
2020-03-05,34,24,75
2020-03-06,35,24,76
2020-03-07,35,23,75
2020-03-08,33,24,76
2020-03-09,35,24,75
2020-03-10,35,25,75
2020-03-11,35,24,74
2020-03-12,36,24,73
2020-03-13,33,24,75
2020-03-14,36,25,72
2020-03-15,35,24,71
2020-03-16,36,23,64
2020-03-17,37,24,64
