date_time,maxtempC,mintempC,humidity
2020-01-22,7,3,94
2020-01-23,8,4,91
2020-01-24,6,2,84
2020-01-25,8,1,75
2020-01-26,7,1,90
2020-01-27,9,7,89
2020-01-28,6,-1,80
2020-01-29,6,4,78
2020-01-30,9,2,87
2020-01-31,11,5,85
2020-02-01,12,8,78
2020-02-02,11,7,85
2020-02-03,9,7,79
2020-02-04,6,4,81
2020-02-05,8,3,82
2020-02-06,10,3,88
2020-02-07,8,2,82
2020-02-08,10,3,88
2020-02-09,12,6,81
2020-02-10,8,4,69
2020-02-11,6,3,61
2020-02-12,6,3,67
2020-02-13,8,3,87
2020-02-14,9,3,86
2020-02-15,12,7,83
2020-02-16,14,8,76
2020-02-17,9,6,72
2020-02-18,8,5,76
2020-02-19,7,1,77
2020-02-20,9,5,81
2020-02-21,9,4,75
2020-02-22,11,8,73
2020-02-23,13,5,79
2020-02-24,10,3,84
2020-02-25,8,4,72
2020-02-26,6,2,83
2020-02-27,4,-2,87
2020-02-28,6,2,83
2020-02-29,11,5,78
2020-03-01,8,4,74
2020-03-02,7,3,89
2020-03-03,8,3,80
2020-03-04,9,4,80
2020-03-05,7,5,90
2020-03-06,7,5,85
2020-03-07,10,3,78
2020-03-08,9,7,84
2020-03-09,9,5,84
2020-03-10,12,5,90
2020-03-11,13,6,81
2020-03-12,9,5,69
2020-03-13,9,5,76
2020-03-14,10,3,83
2020-03-15,10,7,83
2020-03-16,13,7,76
2020-03-17,12,4,72
