date_time,maxtempC,mintempC,humidity
2020-01-22,2,-3,73
2020-01-23,3,-5,78
2020-01-24,2,-5,84
2020-01-25,0,-8,77
2020-01-26,1,-5,94
2020-01-27,3,-5,96
2020-01-28,2,-3,97
2020-01-29,1,-7,98
2020-01-30,-1,-7,90
2020-01-31,0,-1,98
2020-02-01,5,-3,91
2020-02-02,3,-3,74
2020-02-03,-3,-10,69
2020-02-04,-2,-6,83
2020-02-05,-0,-7,67
2020-02-06,4,-3,80
2020-02-07,1,-6,95
2020-02-08,1,-7,94
2020-02-09,3,-5,92
2020-02-10,5,1,67
2020-02-11,3,-3,76
2020-02-12,2,-1,66
2020-02-13,2,-6,55
2020-02-14,0,-4,68
2020-02-15,4,0,94
2020-02-16,7,2,80
2020-02-17,6,2,72
2020-02-18,5,1,72
2020-02-19,5,-1,68
2020-02-20,4,-4,91
2020-02-21,5,-6,73
2020-02-22,6,-2,67
2020-02-23,5,1,60
2020-02-24,3,-0,58
2020-02-25,-1,-3,66
2020-02-26,-4,-6,53
2020-02-27,-2,-6,63
2020-02-28,1,-5,74
2020-02-29,-2,-10,83
2020-03-01,-0,-3,95
2020-03-02,4,0,90
2020-03-03,1,-1,97
2020-03-04,-1,-8,97
2020-03-05,2,-6,90
2020-03-06,0,-7,89
2020-03-07,1,-7,88
2020-03-08,4,-2,95
2020-03-09,5,-1,92
2020-03-10,1,-7,98
2020-03-11,6,0,81
2020-03-12,3,-2,78
2020-03-13,0,-4,59
2020-03-14,1,-7,67
2020-03-15,4,-4,94
2020-03-16,4,-2,74
2020-03-17,8,0,74
