date_time,maxtempC,mintempC,humidity
2020-01-22,21,16,61
2020-01-23,18,15,72
2020-01-24,19,15,56
2020-01-25,21,14,48
2020-01-26,16,11,54
2020-01-27,17,14,62
2020-01-28,20,14,63
2020-01-29,19,14,60
2020-01-30,21,16,50
2020-01-31,20,14,51
2020-02-01,21,15,56
2020-02-02,21,16,61
2020-02-03,20,15,53
2020-02-04,20,14,57
2020-02-05,22,15,59
2020-02-06,23,17,48
2020-02-07,24,18,46
2020-02-08,25,20,55
2020-02-09,26,20,58
2020-02-10,20,18,59
2020-02-11,18,14,57
2020-02-12,15,11,56
2020-02-13,18,11,63
2020-02-14,21,13,63
2020-02-15,23,15,57
2020-02-16,22,16,66
2020-02-17,23,17,63
2020-02-18,25,20,49
2020-02-19,25,20,46
2020-02-20,27,21,49
2020-02-21,23,18,58
2020-02-22,23,17,62
2020-02-23,24,19,75
2020-02-24,26,21,63
2020-02-25,26,22,61
2020-02-26,24,19,50
2020-02-27,22,16,51
2020-02-28,23,16,59
2020-02-29,24,15,58
2020-03-01,24,18,56
2020-03-02,24,18,56
2020-03-03,23,17,53
2020-03-04,23,17,47
2020-03-05,24,16,55
2020-03-06,23,16,58
2020-03-07,25,18,51
2020-03-08,27,19,53
2020-03-09,24,18,54
2020-03-10,25,18,63
2020-03-11,24,17,61
2020-03-12,25,17,46
2020-03-13,24,19,49
2020-03-14,27,22,50
2020-03-15,27,22,47
2020-03-16,27,20,59
2020-03-17,25,21,66
