date_time,maxtempC,mintempC,humidity
2020-01-22,30,27,77
2020-01-23,30,26,79
2020-01-24,30,26,75
2020-01-25,30,25,75
2020-01-26,30,26,76
2020-01-27,30,26,78
2020-01-28,30,26,79
2020-01-29,29,23,80
2020-01-30,30,25,78
2020-01-31,30,26,74
2020-02-01,30,26,77
2020-02-02,29,26,77
2020-02-03,30,26,74
2020-02-04,30,25,75
2020-02-05,30,25,76
2020-02-06,30,26,76
2020-02-07,31,26,73
2020-02-08,30,25,71
2020-02-09,29,25,81
2020-02-10,28,26,84
2020-02-11,29,26,82
2020-02-12,29,26,83
2020-02-13,30,26,79
2020-02-14,30,26,78
2020-02-15,31,26,76
2020-02-16,30,25,77
2020-02-17,32,25,73
2020-02-18,30,27,75
2020-02-19,30,26,77
2020-02-20,30,26,77
2020-02-21,29,26,80
2020-02-22,29,26,77
2020-02-23,30,26,76
2020-02-24,29,26,79
2020-02-25,30,26,75
2020-02-26,30,26,76
2020-02-27,30,26,78
2020-02-28,30,26,76
2020-02-29,30,26,74
2020-03-01,31,25,76
2020-03-02,31,25,77
2020-03-03,31,26,75
2020-03-04,31,26,78
2020-03-05,30,26,79
2020-03-06,30,26,78
2020-03-07,32,26,77
2020-03-08,32,26,76
2020-03-09,31,26,75
2020-03-10,30,26,75
2020-03-11,32,26,74
2020-03-12,31,26,75
2020-03-13,31,27,76
2020-03-14,31,27,76
2020-03-15,31,27,75
2020-03-16,31,27,76
2020-03-17,31,26,72
