date_time,maxtempC,mintempC,humidity
2020-01-22,7,1,34
2020-01-23,9,2,50
2020-01-24,6,1,66
2020-01-25,8,2,69
2020-01-26,9,2,62
2020-01-27,7,4,60
2020-01-28,9,4,62
2020-01-29,8,3,59
2020-01-30,9,3,53
2020-01-31,6,1,68
2020-02-01,8,2,50
2020-02-02,5,0,43
2020-02-03,3,0,45
2020-02-04,3,-3,49
2020-02-05,-4,-8,34
2020-02-06,-1,-6,23
2020-02-07,1,-3,38
2020-02-08,3,-3,54
2020-02-09,3,1,50
2020-02-10,10,2,61
2020-02-11,15,3,43
2020-02-12,5,-1,72
2020-02-13,13,5,81
2020-02-14,17,5,72
2020-02-15,14,7,69
2020-02-16,-0,-7,77
2020-02-17,-3,-6,56
2020-02-18,3,-5,39
2020-02-19,5,-0,50
2020-02-20,11,2,57
2020-02-21,11,3,58
2020-02-22,7,1,58
2020-02-23,7,0,44
2020-02-24,11,3,52
2020-02-25,6,-2,76
2020-02-26,11,3,66
2020-02-27,13,4,58
2020-02-28,5,-4,75
2020-02-29,14,5,63
2020-03-01,11,7,51
2020-03-02,8,1,43
2020-03-03,9,6,51
2020-03-04,5,1,56
2020-03-05,7,0,38
2020-03-06,10,4,29
2020-03-07,12,4,33
2020-03-08,19,6,42
2020-03-09,15,8,38
2020-03-10,8,0,71
2020-03-11,7,1,34
2020-03-12,12,4,44
2020-03-13,7,4,38
2020-03-14,8,3,38
2020-03-15,8,3,41
2020-03-16,8,3,37
2020-03-17,12,4,64
