date_time,maxtempC,mintempC,humidity
2020-01-22,10,5,74
2020-01-23,11,4,73
2020-01-24,10,6,83
2020-01-25,9,6,86
2020-01-26,11,6,78
2020-01-27,9,5,85
2020-01-28,13,8,89
2020-01-29,12,8,86
2020-01-30,12,8,85
2020-01-31,15,9,86
2020-02-01,17,11,87
2020-02-02,16,9,87
2020-02-03,19,9,75
2020-02-04,23,10,62
2020-02-05,17,10,51
2020-02-06,18,6,71
2020-02-07,15,8,69
2020-02-08,13,7,81
2020-02-09,12,6,85
2020-02-10,18,8,79
2020-02-11,17,9,78
2020-02-12,16,10,78
2020-02-13,16,9,78
2020-02-14,20,8,69
2020-02-15,19,8,68
2020-02-16,17,12,67
2020-02-17,15,9,74
2020-02-18,14,7,60
2020-02-19,19,8,48
2020-02-20,21,9,42
2020-02-21,20,8,36
2020-02-22,24,12,34
2020-02-23,24,12,34
2020-02-24,22,10,39
2020-02-25,16,10,45
2020-02-26,15,8,47
2020-02-27,17,7,50
2020-02-28,19,9,47
2020-02-29,12,7,76
2020-03-01,13,7,79
2020-03-02,11,7,62
2020-03-03,13,5,72
2020-03-04,17,10,71
2020-03-05,14,9,69
2020-03-06,11,6,51
2020-03-07,16,5,52
2020-03-08,17,9,55
2020-03-09,17,8,49
2020-03-10,22,10,48
2020-03-11,23,12,57
2020-03-12,25,16,49
2020-03-13,22,13,59
2020-03-14,22,12,57
2020-03-15,19,13,58
2020-03-16,6,3,80
2020-03-17,15,6,73
