date_time,maxtempC,mintempC,humidity
2020-01-22,4,-6,59
2020-01-23,3,-4,74
2020-01-24,6,3,78
2020-01-25,3,-1,79
2020-01-26,7,4,82
2020-01-27,5,2,90
2020-01-28,4,3,94
2020-01-29,4,2,94
2020-01-30,4,-4,91
2020-01-31,3,-2,89
2020-02-01,8,2,88
2020-02-02,5,2,70
2020-02-03,2,-1,72
2020-02-04,1,-5,68
2020-02-05,3,-3,63
2020-02-06,1,-2,76
2020-02-07,2,-2,78
2020-02-08,3,-5,90
2020-02-09,6,1,84
2020-02-10,7,1,73
2020-02-11,4,2,74
2020-02-12,4,1,77
2020-02-13,3,-0,68
2020-02-14,3,-1,75
2020-02-15,5,1,87
2020-02-16,10,5,86
2020-02-17,7,2,69
2020-02-18,7,4,69
2020-02-19,5,1,78
2020-02-20,4,-1,84
2020-02-21,6,1,71
2020-02-22,8,4,70
2020-02-23,7,2,62
2020-02-24,5,0,61
2020-02-25,3,-0,71
2020-02-26,1,-6,63
2020-02-27,0,-3,85
2020-02-28,0,-4,72
2020-02-29,3,-3,90
2020-03-01,5,2,86
2020-03-02,5,-1,85
2020-03-03,5,-0,91
2020-03-04,4,2,94
2020-03-05,4,0,85
2020-03-06,6,-0,81
2020-03-07,5,1,85
2020-03-08,6,1,83
2020-03-09,9,5,84
2020-03-10,7,4,87
2020-03-11,7,4,83
2020-03-12,6,-4,81
2020-03-13,2,-2,58
2020-03-14,1,-4,41
2020-03-15,6,-1,64
2020-03-16,5,1,69
2020-03-17,8,0,75
