date_time,maxtempC,mintempC,humidity
2020-01-22,9,-2,66
2020-01-23,6,-2,69
2020-01-24,9,-3,70
2020-01-25,8,-1,76
2020-01-26,8,-1,80
2020-01-27,8,0,82
2020-01-28,6,-1,88
2020-01-29,4,1,92
2020-01-30,8,-0,82
2020-01-31,12,6,91
2020-02-01,13,4,84
2020-02-02,10,5,90
2020-02-03,12,7,83
2020-02-04,4,-1,84
2020-02-05,6,-1,86
2020-02-06,6,-2,70
2020-02-07,10,-1,65
2020-02-08,10,-1,66
2020-02-09,10,0,68
2020-02-10,11,4,72
2020-02-11,6,2,79
2020-02-12,5,-0,75
2020-02-13,7,-2,72
2020-02-14,8,1,86
2020-02-15,13,-0,70
2020-02-16,12,3,65
2020-02-17,12,4,79
2020-02-18,7,1,81
2020-02-19,5,-1,85
2020-02-20,10,0,74
2020-02-21,8,2,84
2020-02-22,13,1,71
2020-02-23,14,5,67
2020-02-24,15,6,76
2020-02-25,10,4,79
2020-02-26,1,-2,82
2020-02-27,2,-3,84
2020-02-28,7,-4,75
2020-02-29,11,1,79
2020-03-01,10,3,83
2020-03-02,5,-4,88
2020-03-03,6,-1,81
2020-03-04,8,-2,73
2020-03-05,5,1,88
2020-03-06,7,2,82
2020-03-07,7,-1,84
2020-03-08,10,-2,67
2020-03-09,7,-1,90
2020-03-10,5,-2,93
2020-03-11,15,5,88
2020-03-12,16,5,78
2020-03-13,10,5,78
2020-03-14,10,2,79
2020-03-15,14,0,74
2020-03-16,16,2,65
2020-03-17,17,4,74
