date_time,maxtempC,mintempC,humidity
2020-01-22,0,-13,85
2020-01-23,3,-8,77
2020-01-24,4,-6,79
2020-01-25,4,-2,96
2020-01-26,3,-6,88
2020-01-27,3,-3,84
2020-01-28,1,-7,83
2020-01-29,-1,-11,76
2020-01-30,-0,-12,64
2020-01-31,3,-8,70
2020-02-01,3,-5,91
2020-02-02,1,-6,84
2020-02-03,4,-5,83
2020-02-04,3,-3,91
2020-02-05,-2,-4,71
2020-02-06,-3,-9,93
2020-02-07,2,-8,93
2020-02-08,-7,-17,79
2020-02-09,-2,-21,89
2020-02-10,3,-6,98
2020-02-11,2,-7,96
2020-02-12,0,-7,82
2020-02-13,2,-3,96
2020-02-14,-11,-18,81
2020-02-15,-5,-20,82
2020-02-16,2,-11,85
2020-02-17,-1,-8,83
2020-02-18,1,-11,94
2020-02-19,-2,-12,79
2020-02-20,-6,-16,83
2020-02-21,-4,-19,85
2020-02-22,0,-11,85
2020-02-23,5,-8,89
2020-02-24,7,-5,90
2020-02-25,6,-2,95
2020-02-26,3,-2,98
2020-02-27,6,-7,85
2020-02-28,-3,-8,75
2020-02-29,-6,-12,77
2020-03-01,-4,-15,79
2020-03-02,8,-9,86
2020-03-03,10,1,92
2020-03-04,5,-1,77
2020-03-05,5,-3,76
2020-03-06,5,-4,87
2020-03-07,1,-7,71
2020-03-08,7,-7,69
2020-03-09,13,1,72
2020-03-10,13,5,87
2020-03-11,6,-2,70
2020-03-12,9,-3,76
2020-03-13,11,2,85
2020-03-14,7,-1,63
2020-03-15,3,-7,56
2020-03-16,4,-8,49
2020-03-17,6,-3,88
