date_time,maxtempC,mintempC,humidity
2020-01-22,11,3,73
2020-01-23,19,11,88
2020-01-24,16,8,71
2020-01-25,16,7,67
2020-01-26,13,10,91
2020-01-27,18,12,88
2020-01-28,17,10,84
2020-01-29,15,11,88
2020-01-30,14,9,86
2020-01-31,16,10,84
2020-02-01,15,7,72
2020-02-02,20,10,72
2020-02-03,20,14,82
2020-02-04,21,16,87
2020-02-05,22,19,91
2020-02-06,10,6,82
2020-02-07,16,5,59
2020-02-08,18,12,82
2020-02-09,21,14,78
2020-02-10,23,19,91
2020-02-11,24,18,90
2020-02-12,23,19,92
2020-02-13,12,9,82
2020-02-14,13,5,73
2020-02-15,17,6,75
2020-02-16,21,15,90
2020-02-17,22,14,91
2020-02-18,24,19,92
2020-02-19,20,13,90
2020-02-20,18,8,91
2020-02-21,11,4,73
2020-02-22,14,3,70
2020-02-23,17,10,81
2020-02-24,21,14,84
2020-02-25,19,14,76
2020-02-26,11,7,63
2020-02-27,11,2,62
2020-02-28,17,5,60
2020-02-29,18,9,58
2020-03-01,20,12,73
2020-03-02,22,14,86
2020-03-03,24,18,86
2020-03-04,24,17,93
2020-03-05,16,14,85
2020-03-06,17,11,64
2020-03-07,16,8,63
2020-03-08,20,8,65
2020-03-09,21,14,84
2020-03-10,23,18,86
2020-03-11,23,17,83
2020-03-12,24,17,86
2020-03-13,24,18,88
2020-03-14,25,18,86
2020-03-15,27,18,80
2020-03-16,25,17,81
2020-03-17,26,19,83
